

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 4951            
  Cones                  : 0               
  Scalar variables       : 101             
  Matrix variables       : 0               
  Integer variables      : 100             

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 0.11
Presolved problem: 101 variables, 4951 constraints, 14950 non-zeros
Presolved problem: 0 general integer, 100 binary, 1 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        0        1        0        -6.3207995229e-03    NA                   NA          0.1   
0        1        1        0        -6.3207995229e-03    -5.2555520272e+00    8.30e+04    0.1   
0        1        1        0        -9.8140000000e-02    -5.2555520272e+00    5.26e+03    0.2   
0        1        1        0        -4.4501710115e-01    -5.2555520272e+00    1.08e+03    0.2   
Cut generation started.
0        1        1        0        -4.4501710115e-01    -5.2555520272e+00    1.08e+03    0.4   
0        2        1        0        -4.4501710115e-01    -5.1965755398e+00    1.07e+03    0.6   
0        3        1        0        -4.4501710115e-01    -5.1598035561e+00    1.06e+03    0.7   
0        4        1        0        -4.4501710115e-01    -5.1210517905e+00    1.05e+03    0.8   
0        5        1        0        -4.4501710115e-01    -5.0302004410e+00    1.03e+03    0.9   
0        6        1        0        -4.4501710115e-01    -4.9688561562e+00    1.02e+03    1.0   
0        7        1        0        -4.4501710115e-01    -4.8977861918e+00    1.00e+03    1.0   
0        8        1        0        -4.4501710115e-01    -4.8170749173e+00    982.45      1.1   
0        9        1        0        -4.4501710115e-01    -4.7510721595e+00    967.62      1.1   
0        10       1        0        -4.4501710115e-01    -4.6820786920e+00    952.11      1.2   
0        11       1        0        -4.4501710115e-01    -4.6316841464e+00    940.79      1.2   
0        12       1        0        -4.4501710115e-01    -4.5685814731e+00    926.61      1.3   
0        13       1        0        -4.4501710115e-01    -4.4994761997e+00    911.08      1.3   
0        14       1        0        -4.4501710115e-01    -4.4435664047e+00    898.52      1.4   
0        15       1        0        -4.4501710115e-01    -4.3849933059e+00    885.35      1.5   
0        16       1        0        -4.4501710115e-01    -4.3245321830e+00    871.77      1.5   
0        17       1        0        -4.4501710115e-01    -4.2643379905e+00    858.24      1.6   
0        18       1        0        -4.4501710115e-01    -4.2033213230e+00    844.53      1.6   
0        19       1        0        -4.4501710115e-01    -4.1472133152e+00    831.92      1.7   
0        20       1        0        -4.4501710115e-01    -4.0976363639e+00    820.78      1.8   
0        21       1        0        -4.4501710115e-01    -4.0524674035e+00    810.63      1.8   
0        22       1        0        -4.4501710115e-01    -3.9991647242e+00    798.65      1.9   
0        23       1        0        -4.4501710115e-01    -3.9534147272e+00    788.37      1.9   
0        24       1        0        -4.4501710115e-01    -3.9119616241e+00    779.06      2.0   
0        25       1        0        -4.4501710115e-01    -3.8643115717e+00    768.35      2.0   
0        26       1        0        -4.4501710115e-01    -3.8196537161e+00    758.32      2.1   
0        27       1        0        -4.4501710115e-01    -3.7755668550e+00    748.41      2.1   
0        28       1        0        -4.4501710115e-01    -3.7431472319e+00    741.12      2.2   
0        29       1        0        -4.4501710115e-01    -3.7065217508e+00    732.89      2.3   
0        30       1        0        -4.4501710115e-01    -3.6818247203e+00    727.34      2.3   
0        31       1        0        -4.4501710115e-01    -3.6524579725e+00    720.75      2.4   
0        32       1        0        -4.4501710115e-01    -3.6319901796e+00    716.15      2.4   
0        33       1        0        -4.4501710115e-01    -3.6209281568e+00    713.66      2.5   
0        34       1        0        -4.4501710115e-01    -3.6002900791e+00    709.02      2.5   
0        35       1        0        -4.4501710115e-01    -3.5846718193e+00    705.51      2.6   
0        36       1        0        -4.4501710115e-01    -3.5706138816e+00    702.35      2.7   
0        37       1        0        -4.4501710115e-01    -3.5572363208e+00    699.35      2.7   
0        38       1        0        -4.4501710115e-01    -3.5530777980e+00    698.41      2.8   
0        39       1        0        -4.4501710115e-01    -3.5431633650e+00    696.19      2.9   
0        40       1        0        -4.4501710115e-01    -3.5388090375e+00    695.21      2.9   
0        41       1        0        -4.4501710115e-01    -3.5348737213e+00    694.32      3.0   
0        42       1        0        -4.4501710115e-01    -3.5307282631e+00    693.39      3.0   
0        43       1        0        -4.4501710115e-01    -3.5216239323e+00    691.35      3.1   
0        44       1        0        -4.4501710115e-01    -3.5112221067e+00    689.01      3.2   
