

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 7261            
  Cones                  : 0               
  Scalar variables       : 122             
  Matrix variables       : 0               
  Integer variables      : 121             

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 0.19
Presolved problem: 122 variables, 7261 constraints, 21901 non-zeros
Presolved problem: 0 general integer, 121 binary, 1 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
2839     2874     665      78       -8.6128331965e-01    -3.5984767336e+00    317.80      10.2  
3053     3088     797      89       -8.6128331965e-01    -3.5699468131e+00    314.49      10.7  
3286     3321     918      103      -8.6128331965e-01    -3.4991504999e+00    306.27      11.2  
3528     3562     1018     95       -8.7781783017e-01    -2.9797832480e+00    239.45      11.7  
3763     3797     1157     65       -8.7781783017e-01    -2.9452722028e+00    235.52      12.2  
4009     4043     1257     69       -8.7781783017e-01    -2.9452722028e+00    235.52      12.7  
4250     4284     1370     92       -8.7781783017e-01    -2.9288415089e+00    233.65      13.1  
4509     4543     1419     115      -9.0045000000e-01    -2.9288415089e+00    225.26      13.6  
4755     4789     1499     102      -9.2543381350e-01    -2.9154181441e+00    215.03      14.0  
5004     5038     1568     108      -9.2543381350e-01    -2.8999021744e+00    213.36      14.5  
5236     5270     1642     47       -9.2543381350e-01    -2.8999021744e+00    213.36      14.9  
5236     5272     1642     47       -9.2543381350e-01    -2.8999021744e+00    213.36      15.0  
5241     5284     1642     47       -9.2543381350e-01    -2.8999021744e+00    213.36      15.0  
5254     5297     1642     47       -9.2543381350e-01    -2.8999021744e+00    213.36      15.0  
5266     5309     1642     47       -9.2543381350e-01    -2.8999021744e+00    213.36      15.0  
5279     5322     1642     47       -9.2543381350e-01    -2.8999021744e+00    213.36      15.0  
5536     5579     1675     67       -9.2543381350e-01    -2.8999021744e+00    213.36      15.5  
5800     5843     1703     87       -9.2543381350e-01    -2.8999021744e+00    213.36      15.9  
6055     6097     1746     109      -9.2745349692e-01    -2.8999021744e+00    212.67      16.4  
6306     6348     1823     104      -9.2745349692e-01    -2.8999021744e+00    212.67      16.9  
6558     6600     1887     46       -9.2745349692e-01    -2.8999021744e+00    212.67      17.4  
6814     6856     1937     105      -9.2745349692e-01    -2.8990882113e+00    212.59      17.9  
7074     7116     1977     110      -9.2745349692e-01    -2.8880178284e+00    211.39      18.4  
7329     7367     2048     59       -9.2745349692e-01    -2.8880178284e+00    211.39      18.9  
7576     7614     2157     78       -9.2745349692e-01    -2.8880178284e+00    211.39      19.5  
7835     7869     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.0  
7835     7871     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
7840     7882     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
7855     7896     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
7883     7924     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
7913     7954     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
7949     7990     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
7985     8024     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
8009     8048     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
8025     8064     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
8037     8076     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
8051     8089     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
8062     8100     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
8073     8111     2220     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.1  
8337     8375     2244     99       -9.2745349692e-01    -2.8880178284e+00    211.39      20.6  
8598     8636     2283     98       -9.2745349692e-01    -2.8880178284e+00    211.39      21.1  
8845     8883     2316     64       -9.2745349692e-01    -2.8761749549e+00    210.12      21.7  
9107     9140     2338     118      -9.2745349692e-01    -2.8731634788e+00    209.79      22.2  
9362     9395     2379     80       -9.2745349692e-01    -2.8605537713e+00    208.43      22.8  
9620     9650     2427     81       -9.5291615284e-01    -2.8605537713e+00    200.19      23.3  
9880     9910     2467     103      -9.5291615284e-01    -2.8605537713e+00    200.19      23.8  
10143    10171    2482     91       -9.5291615284e-01    -2.8605537713e+00    200.19      24.3  
10406    10434    2513     91       -9.5291615284e-01    -2.8584871743e+00    199.97      24.9  
10669    10695    2540     109      -9.5291615284e-01    -2.8584871743e+00    199.97      25.5  
10669    10697    2540     109      -9.5291615284e-01    -2.8584871743e+00    199.97      25.5  
10673    10708    2540     109      -9.5291615284e-01    -2.8584871743e+00    199.97      25.5  
10688    10723    2540     109      -9.5291615284e-01    -2.8584871743e+00    199.97      25.5  
10706    10741    2540     109      -9.5291615284e-01    -2.8584871743e+00    199.97      25.5  
10736    10771    2540     109      -9.5291615284e-01    -2.8584871743e+00    199.97      25.5  
10778    10813    2540     109      -9.5291615284e-01    -2.8584871743e+00    199.97      25.5  
10850    10884    2540     109      -9.5291615284e-01    -2.8584871743e+00    199.97      25.6  
10958    10990    2540     109      -9.5291615284e-01    -2.8584871743e+00    199.97      25.6  
11214    11246    2580     96       -9.5291615284e-01    -2.8584871743e+00    199.97      26.2  
11469    11501    2635     79       -9.5291615284e-01    -2.8564033020e+00    199.75      26.8  
11734    11764    2660     101      -9.5291615284e-01    -2.8564033020e+00    199.75      27.3  
12000    12030    2678     96       -9.5291615284e-01    -2.8564033020e+00    199.75      27.9  
12249    12279    2719     51       -9.5291615284e-01    -2.8455758389e+00    198.62      28.4  
12504    12532    2772     71       -9.5291615284e-01    -2.8455758389e+00    198.62      29.0  
12762    12790    2814     94       -9.5291615284e-01    -2.8455758389e+00    198.62      29.5  
13021    13049    2847     116      -9.5291615284e-01    -2.8455758389e+00    198.62      29.9  
13280    13308    2872     90       -9.5291615284e-01    -2.8455758389e+00    198.62      30.4  
13539    13567    2907     88       -9.5291615284e-01    -2.8400789923e+00    198.04      31.0  
13798    13825    2944     110      -9.5291615284e-01    -2.8400789923e+00    198.04      31.5  
14058    14083    2978     28       -9.5291615284e-01    -2.8354502848e+00    197.56      32.0  
14314    14339    3026     80       -9.5291615284e-01    -2.8354502848e+00    197.56      32.5  
14573    14594    3061     82       -9.5291615284e-01    -2.8354502848e+00    197.56      33.0  
14822    14843    3098     104      -9.5291615284e-01    -2.8354502848e+00    197.56      33.4  
15080    15100    3144     100      -9.5291615284e-01    -2.8354502848e+00    197.56      34.0  
15334    15354    3180     101      -9.5291615284e-01    -2.8259147365e+00    196.55      34.5  
15596    15614    3208     85       -9.5291615284e-01    -2.8259147365e+00    196.55      35.0  
15855    15873    3251     56       -9.5291615284e-01    -2.8259147365e+00    196.55      35.6  
16112    16130    3288     99       -9.5291615284e-01    -2.8259147365e+00    196.55      36.2  
16375    16393    3309     93       -9.5291615284e-01    -2.8259147365e+00    196.55      36.7  
16619    16637    3359     76       -9.5291615284e-01    -2.8232771041e+00    196.28      37.2  
16873    16891    3409     75       -9.5291615284e-01    -2.8232771041e+00    196.28      37.7  
17127    17145    3459     98       -9.5291615284e-01    -2.8232771041e+00    196.28      38.3  
17387    17405    3489     69       -9.5291615284e-01    -2.8232771041e+00    196.28      38.8  
17643    17661    3537     66       -9.5291615284e-01    -2.8232771041e+00    196.28      39.3  
17893    17907    3605     82       -9.5291615284e-01    -2.8232771041e+00    196.28      39.8  
18129    18143    3657     103      -9.5291615284e-01    -2.8232771041e+00    196.28      40.4  
18385    18396    3713     86       -9.5291615284e-01    -2.8221550714e+00    196.16      41.0  
18646    18657    3748     49       -9.5291615284e-01    -2.8221550714e+00    196.16      41.6  
18902    18913    3788     70       -9.5291615284e-01    -2.8221550714e+00    196.16      42.0  
19163    19174    3825     92       -9.5291615284e-01    -2.8221550714e+00    196.16      42.6  
19421    19432    3851     115      -9.5291615284e-01    -2.8221550714e+00    196.16      43.1  
19670    19679    3912     80       -9.5291615284e-01    -2.8221550714e+00    196.16      43.7  
19926    19932    3970     99       -9.5291615284e-01    -2.8151359715e+00    195.42      44.1  
20188    20194    4002     84       -9.5291615284e-01    -2.8151359715e+00    195.42      44.6  
20440    20446    4050     58       -9.5291615284e-01    -2.8151359715e+00    195.42      45.1  
20703    20709    4067     81       -9.5291615284e-01    -2.8151359715e+00    195.42      45.5  
20969    20975    4099     103      -9.5291615284e-01    -2.8151359715e+00    195.42      46.0  
21236    21240    4116     77       -9.5291615284e-01    -2.8151359715e+00    195.42      46.5  
21498    21501    4170     95       -9.5291615284e-01    -2.8151359715e+00    195.42      47.0  
21762    21764    4210     70       -9.5291615284e-01    -2.8130179750e+00    195.20      47.5  
22029    22028    4233     93       -9.5291615284e-01    -2.8130179750e+00    195.20      48.0  
22295    22294    4265     116      -9.5291615284e-01    -2.8130179750e+00    195.20      48.5  
22554    22548    4304     77       -9.5291615284e-01    -2.8130179750e+00    195.20      48.9  
22825    22807    4343     96       -9.5291615284e-01    -2.8130179750e+00    195.20      49.4  
23098    23071    4374     119      -9.5291615284e-01    -2.5371984028e+00    166.26      50.0  
